date,time,wind,dis1,dis2,dis3,dis4,ang1x,ang1z,ang2x,ang2z,ang3x,ang3z
10.08.2019,11:09:51,2.81,1.609,1.039,1.161,1.791,4.9619,-6.505,2.7289,0.6015,-0.035,2.5014
10.08.2019,11:09:51,2.81,1.679,1.037,1.175,1.791,5.0602,-6.505,3.0651,0.6015,0.2238,2.3929
10.08.2019,11:09:51,2.99,1.735,1.037,1.125,1.791,5.4676,-6.6176,3.3593,0.4302,0.4057,2.3264
10.08.2019,11:09:51,2.99,1.622,1.037,1.099,1.791,5.805,-6.8289,3.5976,0.4302,0.6015,2.3264
10.08.2019,11:09:51,2.99,1.664,1.036,1.085,1.791,6.3396,-6.7021,3.8219,0.5701,0.7554,2.4839
10.08.2019,11:09:51,2.99,1.668,1.035,1.103,1.791,6.6775,-6.6986,4.0182,0.696,0.9373,2.4839
10.08.2019,11:09:52,2.99,1.641,1.034,1.09,1.791,6.9029,-6.6986,4.176,0.696,1.0213,2.4839
10.08.2019,11:09:52,2.99,1.569,1.035,1.138,1.791,7.3117,-6.5895,4.5267,0.6995,1.2731,2.6239
10.08.2019,11:09:52,2.99,1.606,1.035,1.14,1.791,7.6927,-6.5895,4.818,0.8779,1.511,2.6239
10.08.2019,11:09:52,2.72,1.689,1.035,1.111,1.791,7.9892,-6.7761,5.0567,0.7659,1.679,2.5504
10.08.2019,11:09:52,2.72,1.577,1.035,1.147,1.791,8.1871,-6.7761,5.2814,0.7659,1.7909,2.5504
10.08.2019,11:09:52,2.72,1.715,1.034,1.205,1.791,8.3001,-6.6599,5.2814,0.7659,1.7909,2.6694
10.08.2019,11:09:53,2.72,1.701,1.034,1.198,1.791,8.3037,-6.4909,5.4079,0.9338,1.8609,2.6694
10.08.2019,11:09:53,2.72,1.794,1.035,1.182,1.791,8.4981,-6.2094,5.4079,1.1717,1.8609,2.848
10.08.2019,11:09:53,2.72,1.723,1.035,1.173,1.791,8.6396,-6.2094,5.4079,1.2976,1.9449,2.932
10.08.2019,11:09:53,2.72,1.658,1.035,1.165,1.791,8.6396,-6.674,5.4114,1.0597,1.9449,2.5924
10.08.2019,11:09:53,2.29,1.658,1.036,1.188,1.791,8.6396,-7.4634,5.6609,0.3183,2.0569,2.1164
10.08.2019,11:09:53,2.29,1.638,1.036,1.107,1.791,8.2295,-7.0262,5.3798,0.5141,1.7979,2.4874
10.08.2019,11:09:54,2.29,1.636,1.038,1.064,1.791,8.2295,-6.843,5.3798,0.64,2.0149,2.3089
10.08.2019,11:09:54,2.29,1.661,1.04,1.017,1.791,8.2295,-7.1813,5.3798,0.4162,1.8819,2.3089
10.08.2019,11:09:54,2.29,1.672,1.041,0.993,1.791,8.2295,-7.1813,5.3798,0.5281,1.9449,2.3089
10.08.2019,11:09:54,2.29,1.691,1.043,0.998,1.791,8.0881,-7.8586,5.3798,0.035,1.8819,1.6964
10.08.2019,11:09:54,2.29,1.591,1.044,0.991,1.791,7.6645,-9.0891,5.2674,-0.7869,1.8819,1.0562
10.08.2019,11:09:54,2.29,1.648,1.043,0.997,1.791,7.0579,-9.0891,4.9724,-1.2346,1.2242,1.3851
10.08.2019,11:09:55,2.29,1.646,1.043,0.979,1.791,7.0579,-8.2683,4.5934,-0.4791,1.609,2.0814
10.08.2019,11:09:55,2.29,1.585,1.043,0.972,1.791,7.961,-7.4493,5.1269,0.2763,1.8749,2.2599
10.08.2019,11:09:55,2.29,1.53,1.042,0.964,1.791,7.6362,-7.2659,4.5513,0.4721,1.476,2.3159
10.08.2019,11:09:55,2.29,1.595,1.039,0.971,1.791,6.9593,-6.8007,4.3022,0.8044,1.1822,2.4699
10.08.2019,11:09:55,2.29,1.629,1.038,1.02,1.791,6.9557,-6.3783,4.2987,1.1157,1.0143,2.7079
10.08.2019,11:09:55,2.29,1.605,1.037,1.021,1.791,6.9522,-5.9737,4.3969,1.2976,1.1052,2.96
10.08.2019,11:09:56,5.88,1.558,1.036,1.012,1.791,7.072,-5.8577,4.3969,1.2976,1.2032,3.0336
10.08.2019,11:09:56,5.88,1.652,1.036,1.047,1.791,7.072,-5.8577,4.2987,1.1437,1.0423,2.9565
10.08.2019,11:09:56,5.88,1.516,1.037,1.062,1.791,6.9452,-6.3501,4.2987,0.9478,1.1332,2.7569
10.08.2019,11:09:56,5.88,1.499,1.038,1.067,1.791,6.6212,-6.9698,4.1865,0.4022,1.0423,2.3509
10.08.2019,11:09:56,5.88,1.469,1.04,1.041,1.791,6.2692,-6.9734,3.8499,0.2343,0.8744,2.1864
10.08.2019,11:09:57,5.88,1.469,1.043,1.017,1.791,6.2657,-7.1531,3.8499,0.2343,0.7764,2.1864
10.08.2019,11:09:57,5.61,1.5,1.043,1.006,1.791,6.2657,-7.2659,3.9621,0.1084,0.8674,2.1864
10.08.2019,11:09:57,5.61,1.508,1.044,0.99,1.791,6.4803,-7.4775,4.1444,0.1084,1.0073,2.1199
10.08.2019,11:09:57,5.61,1.508,1.045,0.994,1.791,6.4839,-7.6468,4.1444,0.1084,1.0073,2.1199
10.08.2019,11:09:57,5.61,1.576,1.042,0.991,1.791,6.6493,-7.9327,4.3584,-0.2868,1.1332,1.7944
10.08.2019,11:09:57,5.61,1.576,1.044,0.98,1.791,6.6493,-8.1694,4.4671,-0.4512,1.2591,1.6545
10.08.2019,11:09:58,5.61,1.581,1.044,0.976,1.791,6.6528,-8.014,4.4671,-0.4512,1.1682,1.6545
10.08.2019,11:09:58,5.61,1.536,1.044,0.967,1.791,6.6528,-7.7033,4.2461,-0.2168,1.0562,1.7629
10.08.2019,11:09:58,4.04,1.591,1.043,0.963,1.791,6.4803,-7.5763,4.2426,-0.1014,0.9723,1.9134
10.08.2019,11:09:58,4.04,1.598,1.043,0.984,1.791,6.3536,-7.5727,4.0042,-0.1014,0.8884,1.8539
10.08.2019,11:09:58,4.04,1.552,1.042,0.972,1.791,6.3536,-7.3364,4.0042,0.0385,0.9373,1.9834
10.08.2019,11:09:58,4.04,1.526,1.042,0.995,1.791,6.4803,-7.1531,4.0042,0.1924,0.9373,2.0989
10.08.2019,11:09:59,4.04,1.58,1.042,0.995,1.791,6.6071,-7.1531,4.1725,0.1924,1.0353,2.1549
10.08.2019,11:09:59,4.04,1.587,1.042,0.993,1.791,6.7761,-7.1496,4.3408,0.1958,1.1332,2.1549
10.08.2019,11:09:59,4.04,1.593,1.043,0.99,1.791,6.7796,-7.2941,4.4952,0.1958,1.2451,2.0499
10.08.2019,11:09:59,3.16,1.62,1.044,0.995,1.791,7.072,-7.6186,4.6952,-0.1049,1.3851,1.9064
10.08.2019,11:09:59,3.16,1.658,1.045,0.988,1.791,7.0755,-7.6221,4.6987,-0.1049,1.483,1.9064
10.08.2019,11:09:59,3.16,1.631,1.047,0.974,1.791,7.2694,-7.9151,4.8601,-0.2413,1.539,1.7839
10.08.2019,11:10:00,3.16,1.583,1.046,0.969,1.791,7.5516,-8.1411,5.0848,-0.3532,1.7209,1.7139
